mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
92.5096635,123.7721737,115.994881,33.99588187,30.6749399,37.51684108,141.2458255,0.926667569,0.206899213,11.68028207
82.47544142,88.8202074,98.83242538,37.66114307,34.0357754,46.19233721,223.679241,0.912155497,0.142004505,12.67962665
114.3061226,126.9064211,98.8767773,29.4718019,23.91805113,37.8492264,54.67836707,0.957858703,0.342369635,10.75849349
125.3011693,134.1517617,124.0361781,51.00806796,44.35418759,59.28367146,1158.188428,0.731148004,0.061644848,14.0944527
111.7203394,115.2583609,111.0638319,55.79441543,47.88842786,64.4735577,506.0243588,0.903426957,0.13041755,13.27262405
106.4092244,108.7219541,130.9816176,24.46358246,18.1430314,38.71607556,108.7351257,0.875594846,0.196077908,11.2877649
93.09780319,107.9127523,100.017474,43.90277232,39.76193073,52.66211071,254.0711016,0.925355306,0.128133686,12.95136545
104.4290616,111.8512727,109.9316928,56.93025447,50.56410374,64.34681927,704.116973,0.874579205,0.129247972,13.60542038
129.4046905,138.0952489,121.7729076,49.04238651,42.70468831,58.29519147,499.1040077,0.877811026,0.111657416,12.97768886
109.4571059,108.0603769,111.9869709,36.08844479,27.60686334,52.47770942,43.90304511,0.976820348,0.353223361,10.69387794
100.7486568,115.6445175,124.9111705,35.53320331,30.74304055,52.06072246,90.00066271,0.959836475,0.23885149,11.43198951
96.75322896,114.1597231,99.59828629,47.2725642,42.7628702,57.40127747,626.5945934,0.842038994,0.128689501,13.41029016
107.1086245,110.3568703,115.6366916,26.1790826,20.27384597,39.60832289,32.71536727,0.96466695,0.415944946,9.924317851
104.8227348,113.3088665,105.1863652,57.77328072,50.73344219,66.67996518,1124.616829,0.804476246,0.08239538,14.14014911
84.59030151,97.10365804,92.93362427,32.9101261,30.71705011,48.04943399,150.1678554,0.92619095,0.162081167,12.1369342
117.6339992,126.4422098,120.935448,35.31612846,27.19272643,47.31117152,69.49221115,0.962513579,0.226219259,11.27749266
123.2959113,131.071122,113.5985943,36.30630879,25.85820536,41.13192792,229.035323,0.868394326,0.10962185,12.46831259
111.600364,131.313225,104.6542377,48.57877419,39.88120201,59.45964688,358.663392,0.899243019,0.143802057,12.77560448
101.0719255,108.0622476,118.2487381,30.88511261,28.05073682,44.31563999,63.4525902,0.963255602,0.255380969,11.33187213
67.04912953,91.190924,92.90914352,34.33730411,29.05702701,39.90305353,89.93910369,0.9556768,0.230539487,11.0765665
91.75590946,99.26718464,92.2809209,25.59014176,17.62380488,30.49691005,80.94578866,0.894686068,0.206970081,11.15397013
92.5494186,109.4660507,104.9765236,30.23113863,23.13722436,41.72813017,288.8002643,0.770000651,0.105751987,12.43886081
102.2556587,108.3012022,115.9615836,25.78672143,22.58700917,41.8832859,88.56755344,0.922592528,0.206329657,11.42523832
96.17607204,98.39468634,87.58461926,32.60408578,28.69074494,45.74802994,335.8758407,0.806877497,0.125795395,12.56277283
